group,site,type,phase,date,End Date,Qp,Q,Precipitation (in),NO3-N,TKN,TP,TSS,OP
MO_EoF,MO1171601,Ct,Bl,5/8/2018,5/9/2018,0.098,0.011,0.829,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/11/2018,6/12/2018,0.23,0.047,1.642,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,8/29/2018,8/29/2018,1.271,0.294,2.309,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,8/31/2018,9/1/2018,0.117,0.021,0.786,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,9/5/2018,9/6/2018,2.369,0.113,1.139,0,0.09,0.02,8.47,0
MO_EoF,MO1171601,Ct,Bl,9/7/2018,9/9/2018,2.369,1.603,1.304,0.12,0.82,0.21,68.86,0
MO_EoF,MO1171601,Ct,Bl,10/6/2018,10/8/2018,2.234,9.652,6.116,6.51,3.94,1.29,344.92,0
MO_EoF,MO1171601,Ct,Bl,10/9/2018,10/10/2018,1.706,0.344,0.414,0.34,0.25,0.05,18.61,0
MO_EoF,MO1171601,Ct,Bl,10/14/2018,10/15/2018,0.342,0.076,0.398,0.12,0.04,0.01,2.71,0
MO_EoF,MO1171601,Ct,Bl,12/1/2018,12/2/2018,1.77,1.037,1.255,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,12/27/2018,12/27/2018,0.608,0.13,0.7,0.33,0.06,0.02,8.97,0
MO_EoF,MO1171601,Ct,Bl,12/31/2018,1/1/2019,1.766,1.539,1.164,0.59,1.46,0.28,158.74,0
MO_EoF,MO1171601,Ct,Bl,2/3/2019,2/4/2019,1.715,1.683,0.027,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,2/11/2019,2/12/2019,1.606,0.66,0.288,0.4,0.22,0.06,3.58,0
MO_EoF,MO1171601,Ct,Bl,2/12/2019,2/12/2019,0.491,0.114,0.026,0.07,0.04,0.01,0.62,0
MO_EoF,MO1171601,Ct,Bl,2/13/2019,2/13/2019,1.653,0.208,0.013,0.13,0.07,0.02,1.13,0
MO_EoF,MO1171601,Ct,Bl,2/14/2019,2/16/2019,1.653,0.945,0.02,0.64,0.31,0.08,10.46,0
MO_EoF,MO1171601,Ct,Bl,2/23/2019,2/26/2019,1.63,2.191,0.742,0.62,1.56,0.26,140.85,0
MO_EoF,MO1171601,Ct,Bl,3/9/2019,3/10/2019,1.855,1.251,1.272,0.94,1.39,0.18,91.34,0
MO_EoF,MO1171601,Ct,Bl,3/28/2019,3/31/2019,1.133,1.077,2.788,1.18,1.37,0.16,84.32,0
MO_EoF,MO1171601,Ct,Bl,4/30/2019,5/4/2019,1.165,2.376,4,2.72,2.96,1.48,244.06,0
MO_EoF,MO1171601,Ct,Bl,5/6/2019,5/10/2019,0.996,0.908,2.459,0.93,0.94,0.4,75.17,0.26
MO_EoF,MO1171601,Ct,Bl,5/14/2019,5/15/2019,0.543,0.086,0.743,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,5/18/2019,5/22/2019,1.52,4.806,6.967,0.38,3.42,1.34,378.05,0.91
MO_EoF,MO1171601,Ct,Bl,5/22/2019,5/23/2019,1.017,0.048,0.246,0.01,0.05,0.02,4.36,0.01
MO_EoF,MO1171601,Ct,Bl,5/24/2019,5/25/2019,1.017,0.915,1.882,0.11,0.95,0.37,83.39,0.25
MO_EoF,MO1171601,Ct,Bl,5/26/2019,5/26/2019,1,0.277,0.646,0.02,0.44,0.13,77.64,0.07
MO_EoF,MO1171601,Ct,Bl,5/28/2019,5/30/2019,1.717,0.031,3.237,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/19/2019,6/20/2019,1.029,0.029,0.88,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/21/2019,6/22/2019,1.502,0.642,1.881,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/22/2019,6/25/2019,1.502,3.05,2.442,9.51,0.16,0.16,9.67,0.16
MO_EoF,MO1171601,Ct,Bl,7/20/2019,7/21/2019,1.026,0.305,3.029,0.14,0.37,0.1,48.22,0.07
MO_EoF,MO1171601,Ct,Bl,7/29/2019,7/29/2019,1.27,0.496,1.887,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,8/11/2019,8/11/2019,1.282,0.355,1.469,0.06,0.14,0.05,28.22,0.02
MO_EoF,MO1171601,Ct,Bl,8/12/2019,8/12/2019,1.282,0.396,0.85,0.02,0.1,0.05,13.55,0.03
MO_EoF,MO1171601,Ct,Bl,8/25/2019,8/27/2019,0.315,0.058,1.03,0.04,0.02,0.01,2.92,0.01
MO_EoF,MO1171601,Ct,Bl,8/29/2019,8/30/2019,0.853,0.073,1.175,0.04,0.03,0.01,3.66,0.01
MO_EoF,MO1171601,Ct,Bl,9/8/2019,9/8/2019,0.233,0.06,1.207,0.04,0.02,0.01,3.02,0.01
MO_EoF,MO1171601,Ct,Bl,9/22/2019,9/22/2019,1.466,1.38,3.073,0.08,0.31,0.1,31.03,0.11
MO_EoF,MO1171601,Ct,Bl,9/28/2019,9/29/2019,1.56,1.839,3.02,0.1,0.77,0.17,73.64,0.12
MO_EoF,MO1171601,Ct,Bl,9/29/2019,9/29/2019,1.316,0.58,0.516,0.03,0.3,0.08,22.96,0.04
MO_EoF,MO1171601,Ct,Bl,10/2/2019,10/3/2019,1.441,2.124,1.41,0.19,0.12,0.22,63.35,0.11
MO_EoF,MO1171601,Ct,Bl,10/10/2019,10/10/2019,0.801,0.363,1.281,0.02,0.22,0.05,12.07,0.03
MO_EoF,MO1171601,Ct,Bl,10/21/2019,10/21/2019,0.167,0.02,0.517,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,11/29/2019,11/30/2019,0.784,0.228,0.946,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,12/28/2019,12/29/2019,0.983,0.625,1.342,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,1/10/2020,1/11/2020,1.094,0.616,1.629,0.11,0.22,0.07,33.99,0.05
MO_EoF,MO1171601,Ct,Bl,2/2/2020,2/3/2020,0.545,0.224,0.014,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,3/9/2020,3/10/2020,0.506,0.376,1.559,0.16,0.12,0.04,8.5,0.03
MO_EoF,MO1171601,Ct,Bl,3/14/2020,3/15/2020,0.165,0.157,1.567,0.05,0.09,0.01,1.45,0.01
MO_EoF,MO1171601,Ct,Bl,3/18/2020,3/18/2020,1.157,0.437,0.694,0.02,0.24,0.04,15.31,0.01
MO_EoF,MO1171601,Ct,Bl,3/19/2020,3/19/2020,1.157,0.94,0.99,0.02,0.46,0.1,29.33,0.04
MO_EoF,MO1171601,Ct,Bl,4/17/2020,4/17/2020,0.321,0.107,1.112,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,4/25/2020,4/25/2020,0.191,0.076,0.929,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,5/14/2020,5/15/2020,1.44,1.885,2.291,0.04,0.97,0.43,126.06,0.28
MO_EoF,MO1171601,Ct,Bl,5/25/2020,5/25/2020,0.757,0.15,0.786,0.01,0.37,0.12,93.59,0.03
MO_EoF,MO1171601,Ct,Bl,5/26/2020,5/26/2020,0.098,0.035,0.227,0,0.09,0.03,22.13,0.01
MO_EoF,MO1171601,Ct,Bl,5/28/2020,5/29/2020,1.523,2.431,2.708,0.05,1.09,0.62,90.59,0.35
MO_EoF,MO1171601,Ct,Bl,6/4/2020,6/4/2020,0.375,0.119,1.29,0.03,0.13,0.05,4.41,0.03
MO_EoF,MO1171601,Ct,Bl,6/19/2020,6/19/2020,0.269,0.02,0.855,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,7/15/2020,7/15/2020,0.719,0.153,2.677,0.04,0.13,0.07,11.29,0.04
MO_EoF,MO1171601,Ct,Tx,9/12/2020,9/12/2020,0.098,0.007,0.344,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,1/30/2021,2/1/2021,0.783,0.705,0.964,0.38,0.39,0.23,41.76,0.1
MO_EoF,MO1171601,Ct,Tx,3/14/2021,3/16/2021,0.779,0.267,2.519,0.3,0.19,0.07,13.72,0.04
MO_EoF,MO1171601,Ct,Tx,3/17/2021,3/19/2021,0.779,0.434,1.245,0.32,0.21,0.12,22.56,0.06
MO_EoF,MO1171601,Ct,Tx,3/23/2021,3/25/2021,0.428,0.069,0.777,0.03,0.07,0.02,11.49,0.01
MO_EoF,MO1171601,Ct,Tx,3/25/2021,3/26/2021,0.428,0.246,0.49,0.1,0.2,0.06,16.89,0.03
MO_EoF,MO1171601,Ct,Tx,5/18/2021,5/19/2021,0.798,0.327,0.857,0.11,0.35,0.09,26.94,0.04
MO_EoF,MO1171601,Ct,Tx,5/20/2021,5/20/2021,0.159,0.028,0.708,0.01,0.02,0.01,1.47,0
MO_EoF,MO1171601,Ct,Tx,5/22/2021,5/23/2021,0.673,0.269,0.714,0.11,0.23,0.05,14.09,0.03
MO_EoF,MO1171601,Ct,Tx,5/27/2021,5/27/2021,0.528,0.208,1.219,0.05,0.34,0.07,55.85,0.03
MO_EoF,MO1171601,Ct,Tx,6/20/2021,6/21/2021,0.83,0.059,2.829,0.04,0.11,0.02,27.6,0
MO_EoF,MO1171601,Ct,Tx,6/24/2021,6/26/2021,1.609,4.998,5.291,0.56,3.4,0.7,614.03,0.15
MO_EoF,MO1171601,Ct,Tx,6/29/2021,7/1/2021,0.985,2.084,2.916,0.15,1.47,0.28,264.95,0.03
MO_EoF,MO1171601,Ct,Tx,7/7/2021,7/8/2021,0.872,0.379,1.931,0.05,0.45,0.09,126.99,0.01
MO_EoF,MO1171601,Ct,Tx,7/10/2021,7/12/2021,1.114,1.841,2.084,0.04,1.75,0.29,500.75,0.02
MO_EoF,MO1171601,Ct,Tx,7/25/2021,7/25/2021,0.864,0.179,1.328,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,7/31/2021,7/31/2021,0.537,0.15,1.606,0.03,0.09,0.03,15.71,0.01
MO_EoF,MO1171601,Ct,Tx,11/11/2021,11/11/2021,0.098,0.018,1.467,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,3/30/2022,3/30/2022,0.278,0.087,1.593,0.28,0.05,0.02,12.09,0.01
MO_EoF,MO1171601,Ct,Tx,5/2/2022,5/3/2022,0.249,0.031,1.11,0.03,0.01,0.01,6.65,0
MO_EoF,MO1171601,Ct,Tx,5/31/2022,6/1/2022,1.54,2.199,3.13,1.63,0.39,0.64,339.9,0.12
MO_EoF,MO1171601,Ct,Tx,6/6/2022,6/6/2022,1.254,0.433,1.064,0.08,0.05,0.2,267.41,0.02
MO_EoF,MO1171601,Ct,Tx,6/8/2022,6/8/2022,1.604,1.657,1.295,0.35,0.19,0.54,515.2,0.08
MO_EoF,MO1171601,Ct,Tx,6/17/2022,6/17/2022,0.905,0.085,1.372,0.01,0.01,0.03,44.47,0
MO_EoF,MO1171601,Ct,Tx,6/21/2022,6/21/2022,0.199,0.011,1.259,0,0.01,0,2.14,0
MO_EoF,MO1171601,Ct,Tx,6/24/2022,6/24/2022,0.472,0.06,0.92,0.02,0.03,0.01,12.07,0
MO_EoF,MO1171601,Ct,Tx,7/7/2022,7/8/2022,1.477,1.892,4.183,0.47,0.49,0.14,131.19,0.03
MO_EoF,MO1171601,Ct,Tx,7/8/2022,7/8/2022,0.805,0.07,0.282,0.01,0.02,0,2.76,0
MO_EoF,MO1171601,Ct,Tx,7/17/2022,7/17/2022,0.689,0.134,2.534,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,7/26/2022,7/26/2022,0.729,0.082,2.377,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,11/10/2022,11/11/2022,0.878,0.249,1.732,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,12/13/2022,12/14/2022,0.275,0.107,1.714,0.12,0.12,0.04,5.22,0.02
MO_EoF,MO1171601,Ct,Tx,1/2/2023,1/3/2023,1.678,1.526,2.289,0.43,0.97,0.43,115.76,0.2
MO_EoF,MO1171601,Ct,Tx,2/9/2023,2/10/2023,1.425,1.5,1.945,1.04,1.05,0.33,68.19,0.24
MO_EoF,MO1171601,Ct,Tx,3/24/2023,3/25/2023,1.437,1.485,1.865,0.67,1.35,0.34,88.74,0.13
MO_EoF,MO1171601,Ct,Tx,5/14/2023,5/15/2023,1.699,1.483,3.708,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,8/1/2023,8/1/2023,1.499,0.746,4.487,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,8/2/2023,8/2/2023,0.303,0.053,1.056,0,0.02,0,0.92,0
MO_EoF,MO1171601,Ct,Tx,8/4/2023,8/5/2023,1.576,1.186,1.523,0.09,0.5,0.17,24.45,0.12
MO_EoF,MO1171601,Ct,Tx,8/6/2023,8/6/2023,1.363,0.463,0.675,0.05,0.25,0.08,18.02,0.05
MO_EoF,MO1171601,Ct,Tx,8/9/2023,8/10/2023,1.688,1.876,1.889,0.18,0.75,0.23,45.23,0.14
MO_EoF,MO1171601,Ct,Tx,8/13/2023,8/14/2023,1.206,0.557,1.133,0.17,0.17,0.08,14.74,0.07
MO_EoF,MO1171601,Ct,Tx,12/1/2023,12/1/2023,0.237,0.05,1.195,0,0,0,0,0
MO_EoF,MO1171601,Ct,Tx,12/24/2023,12/26/2023,0.42,0.361,0.782,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,5/8/2018,5/9/2018,0.136,0.024,0.829,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,6/11/2018,6/12/2018,0.124,0.038,1.642,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,8/29/2018,8/29/2018,0.932,0.436,2.309,0.15,0.48,0.14,216.57,0
MO_EoF,MO1171602,Tx,Bl,8/31/2018,9/1/2018,0.263,0.136,0.786,0.09,0.08,0.02,5.41,0
MO_EoF,MO1171602,Tx,Bl,9/5/2018,9/6/2018,2.102,0.347,1.139,0.13,0.27,0.07,42.73,0
MO_EoF,MO1171602,Tx,Bl,9/7/2018,9/9/2018,2.102,3.123,1.304,0.85,1.33,0.37,181.22,0
MO_EoF,MO1171602,Tx,Bl,10/6/2018,10/8/2018,1.788,9.146,6.116,2.64,4.13,1.14,626.12,0
MO_EoF,MO1171602,Tx,Bl,10/9/2018,10/10/2018,1.483,0.231,0.414,0.45,0.08,0.02,0.78,0
MO_EoF,MO1171602,Tx,Bl,2/23/2019,2/26/2019,1.635,2.597,0.742,0.37,1.35,0.23,157.6,0
MO_EoF,MO1171602,Tx,Bl,3/9/2019,3/10/2019,1.61,1.506,1.272,0.99,1.36,0.19,178.74,0
MO_EoF,MO1171602,Tx,Bl,3/28/2019,3/31/2019,1.348,1.659,2.788,1.26,1.82,0.22,107,0
MO_EoF,MO1171602,Tx,Bl,4/30/2019,5/4/2019,1.285,2.243,4,2.92,2.09,1.01,187.79,0.26
MO_EoF,MO1171602,Tx,Bl,5/6/2019,5/10/2019,1.277,1.684,2.459,1.81,2.37,0.62,185.22,0.33
MO_EoF,MO1171602,Tx,Bl,5/14/2019,5/15/2019,1.101,0.166,0.743,0.2,0.18,0.07,53.54,0.02
MO_EoF,MO1171602,Tx,Bl,5/18/2019,5/22/2019,1.374,7.106,6.967,0.45,4.5,1.76,461.19,1.05
MO_EoF,MO1171602,Tx,Bl,5/22/2019,5/23/2019,1.293,0.051,0.246,0.02,0.05,0.02,5.81,0.01
MO_EoF,MO1171602,Tx,Bl,5/24/2019,5/25/2019,1.305,2.073,1.882,0.35,1.97,0.67,253.96,0.46
MO_EoF,MO1171602,Tx,Bl,5/26/2019,5/26/2019,1.226,0.551,0.646,0.03,0.82,0.21,151.75,0.11
MO_EoF,MO1171602,Tx,Bl,5/28/2019,5/30/2019,1.429,3.011,3.237,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,6/19/2019,6/20/2019,1.496,0.03,0.88,0.02,0.04,0.01,6.53,0
MO_EoF,MO1171602,Tx,Bl,6/21/2019,6/22/2019,1.55,1.599,1.881,0.99,2.2,0.49,398.62,0.2
MO_EoF,MO1171602,Tx,Bl,6/22/2019,6/25/2019,1.55,4.21,2.442,0.86,3.7,0.88,559.8,0.45
MO_EoF,MO1171602,Tx,Bl,7/20/2019,7/21/2019,1.357,0.614,3.029,0.17,0.8,0.23,329.09,0.1
MO_EoF,MO1171602,Tx,Bl,7/29/2019,7/29/2019,1.492,1.189,1.887,0.07,0.62,0.16,207.66,0.05
MO_EoF,MO1171602,Tx,Bl,8/11/2019,8/11/2019,1.51,0.902,1.469,0.05,0.15,0.08,65.27,0.04
MO_EoF,MO1171602,Tx,Bl,8/12/2019,8/12/2019,1.47,0.808,0.85,0.05,0.05,0.08,28.46,0.04
MO_EoF,MO1171602,Tx,Bl,8/21/2019,8/22/2019,1.466,0.453,1.475,0.05,0.28,0.07,45.22,0.03
MO_EoF,MO1171602,Tx,Bl,8/25/2019,8/27/2019,0.156,0.042,1.03,0,0.02,0.01,3.06,0
MO_EoF,MO1171602,Tx,Bl,8/29/2019,8/30/2019,0.275,0.06,1.175,0,0.02,0.01,4.44,0.01
MO_EoF,MO1171602,Tx,Bl,9/8/2019,9/8/2019,0.292,0.066,1.207,0,0.03,0.01,4.85,0.01
MO_EoF,MO1171602,Tx,Bl,9/22/2019,9/22/2019,1.483,2.407,3.073,0.14,0.49,0.17,53.86,0.16
MO_EoF,MO1171602,Tx,Bl,9/28/2019,9/29/2019,1.483,2.588,3.02,0.15,0.9,0.17,123.09,0.15
MO_EoF,MO1171602,Tx,Bl,9/29/2019,9/29/2019,1.428,0.978,0.516,0.06,0.41,0.08,59.59,0.05
MO_EoF,MO1171602,Tx,Bl,10/2/2019,10/3/2019,1.377,2.554,1.41,0.14,1.11,0.32,91.86,0.1
MO_EoF,MO1171602,Tx,Bl,10/10/2019,10/10/2019,1.274,0.764,1.281,0.04,0.48,0.09,24.01,0.02
MO_EoF,MO1171602,Tx,Bl,10/21/2019,10/21/2019,0.071,0.01,0.517,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,11/29/2019,11/30/2019,1.238,0.257,0.946,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,12/28/2019,12/29/2019,1.313,1.51,1.342,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,1/10/2020,1/11/2020,1.415,1.544,1.629,0.25,0.93,0.2,92.51,0.02
MO_EoF,MO1171602,Tx,Bl,2/2/2020,2/3/2020,1.189,0.53,0.014,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,2/3/2020,2/4/2020,0.344,0.186,0.002,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,3/9/2020,3/10/2020,1.212,0.773,1.559,0.31,0.35,0.08,57.14,0.05
MO_EoF,MO1171602,Tx,Bl,3/14/2020,3/15/2020,0.134,0.167,1.567,0.06,0.11,0.01,7.35,0.07
MO_EoF,MO1171602,Tx,Bl,3/18/2020,3/18/2020,1.33,1.203,0.694,0.03,0.54,0.09,63.74,0.03
MO_EoF,MO1171602,Tx,Bl,3/19/2020,3/19/2020,1.33,2.198,0.99,0.05,1.04,0.18,99.67,0.07
MO_EoF,MO1171602,Tx,Bl,4/17/2020,4/17/2020,0.27,0.12,1.112,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,5/14/2020,5/15/2020,1.838,2.303,2.291,0.08,0.71,0.44,110.2,0.37
MO_EoF,MO1171602,Tx,Bl,5/25/2020,5/25/2020,1.514,0.392,0.786,0.01,0.26,0.12,22.32,0.09
MO_EoF,MO1171602,Tx,Bl,5/28/2020,5/29/2020,1.673,3.369,2.708,0.08,1.35,0.81,109.01,0.5
MO_EoF,MO1171602,Tx,Bl,6/4/2020,6/4/2020,0.724,0.21,1.29,0.01,0.13,0.11,13.62,0.07
MO_EoF,MO1171602,Tx,Bl,6/19/2020,6/19/2020,0.107,0.012,0.855,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,7/15/2020,7/15/2020,1.644,0.373,2.677,0.11,0.4,0.15,81.81,0.07
MO_EoF,MO1171602,Tx,Bl,9/10/2020,9/10/2020,0.076,0.009,2.42,0,0,0,0,0
MO_EoF,MO1171602,Tx,Bl,9/12/2020,9/12/2020,0.233,0.021,0.344,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,1/30/2021,2/1/2021,1.462,1.128,0.964,1.39,1.28,0.38,313.9,0.22
MO_EoF,MO1171602,Tx,Tx,3/14/2021,3/16/2021,1.23,0.193,2.519,0.35,0.29,0.07,98.2,0.02
MO_EoF,MO1171602,Tx,Tx,3/17/2021,3/19/2021,1.23,0.731,1.245,1.07,2.5,0.49,256.41,0.16
MO_EoF,MO1171602,Tx,Tx,3/25/2021,3/26/2021,0.396,0.19,0.49,0.25,0.17,0.05,50.26,0.02
MO_EoF,MO1171602,Tx,Tx,4/10/2021,4/11/2021,0.916,0.638,1.812,0.24,0.52,0.13,96.29,0.07
MO_EoF,MO1171602,Tx,Tx,5/18/2021,5/19/2021,0.993,0.17,0.857,0.05,0.32,0.1,152.53,0.01
MO_EoF,MO1171602,Tx,Tx,5/22/2021,5/23/2021,1.062,0.274,0.714,0.04,0.32,0.09,87.98,0.02
MO_EoF,MO1171602,Tx,Tx,5/27/2021,5/27/2021,1.109,0.196,1.219,0.05,0.27,0.07,86.16,0.02
MO_EoF,MO1171602,Tx,Tx,6/20/2021,6/21/2021,1.413,0.273,2.829,0.13,1.1,0.21,597.54,0.02
MO_EoF,MO1171602,Tx,Tx,6/24/2021,6/26/2021,1.522,4.742,5.291,0.93,3.4,0.64,543.65,0.27
MO_EoF,MO1171602,Tx,Tx,6/29/2021,7/1/2021,1.317,4.312,2.916,0.29,2.24,0.54,409.6,0.2
MO_EoF,MO1171602,Tx,Tx,7/7/2021,7/8/2021,1.35,0.542,1.931,0.05,0.43,0.09,110.51,0.03
MO_EoF,MO1171602,Tx,Tx,7/10/2021,7/12/2021,1.598,3.039,2.084,0.06,1.61,0.23,284.57,0.03
MO_EoF,MO1171602,Tx,Tx,7/25/2021,7/25/2021,1.471,0.294,1.328,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,7/31/2021,7/31/2021,0.639,0.03,1.606,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,5/2/2022,5/3/2022,0.172,0.022,1.11,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,5/5/2022,5/6/2022,1.413,0.558,1.212,0.42,0.14,0.22,367.48,0.03
MO_EoF,MO1171602,Tx,Tx,5/31/2022,6/1/2022,2.346,8.227,3.13,6.15,1.09,1.94,1355.22,0.47
MO_EoF,MO1171602,Tx,Tx,6/6/2022,6/6/2022,1.998,0.728,1.064,0.14,0.08,0.31,449.5,0.03
MO_EoF,MO1171602,Tx,Tx,6/8/2022,6/8/2022,2.027,1.996,1.295,0.5,0.26,0.51,451.94,0.09
MO_EoF,MO1171602,Tx,Tx,6/17/2022,6/17/2022,0.497,0.024,1.372,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,6/24/2022,6/24/2022,0.201,0.026,0.92,0,0.01,0,1.46,0
MO_EoF,MO1171602,Tx,Tx,7/7/2022,7/8/2022,1.59,2.415,4.183,0.49,0.5,0.14,80.42,0.03
MO_EoF,MO1171602,Tx,Tx,7/8/2022,7/8/2022,0.723,0.04,0.282,0.01,0,0,0.4,0
MO_EoF,MO1171602,Tx,Tx,7/17/2022,7/17/2022,1.255,0.103,2.534,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,7/26/2022,7/26/2022,0.502,0.04,2.377,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,1/2/2023,1/3/2023,1.57,1.593,2.289,1.21,1.68,0.58,437.12,0.3
MO_EoF,MO1171602,Tx,Tx,2/9/2023,2/10/2023,1.43,1.282,1.945,1.91,0.85,0.27,257.52,0.17
MO_EoF,MO1171602,Tx,Tx,3/24/2023,3/25/2023,1.411,1.813,1.865,1.8,2.31,0.4,204.15,0.09
MO_EoF,MO1171602,Tx,Tx,5/14/2023,5/15/2023,1.552,1.013,3.708,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,8/1/2023,8/1/2023,1.744,1.064,4.487,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,8/2/2023,8/2/2023,0.117,0.014,1.056,0,0,0,0,0
MO_EoF,MO1171602,Tx,Tx,8/4/2023,8/5/2023,1.522,1.521,1.523,0.19,0.7,0.28,36.12,0.21
MO_EoF,MO1171602,Tx,Tx,8/6/2023,8/6/2023,1.37,0.548,0.675,0.06,0.49,0.13,32.23,0.08
MO_EoF,MO1171602,Tx,Tx,8/9/2023,8/10/2023,1.548,2.343,1.889,0.26,1.4,0.35,54.3,0.23
MO_EoF,MO1171602,Tx,Tx,8/13/2023,8/14/2023,1.331,0.853,1.133,0.15,0.33,0.16,123.9,0.1
MO_EoF,MO1171602,Tx,Tx,9/23/2023,9/23/2023,0.082,0.004,0.001,0,0,0,0,0
